text	x	y	parentState	destination	Language	Other
English		0.55	0	1	0	-
اللغة العربية 		0.60	0	1	1	-
Play Letter Combine		0.65	1	2	0	1
الجمع بين اللعب الرسالة		0.65	1	2	1	1
Play Letter Elimination		0.7	1	2	0	2
رسالة القضاء اللعب		0.7	1	2	1	2
Change Language		0.75	1	0	0	-
//Change Language		0.75	1	0	1	-
Records		0.8	1	6	0	-	
_______		0.8	1	6	1	-
Exit		0.85	1	5	0	-	
موت		0.85	1	5	1	
Resume		0.5	2	2	0	
//Resume		0.5	2	2	1	
Restart Game		0.55	2	2	0	
//Restarte Game		0.55	2	2	1	
Go to Home Screen		0.6	2	1	0	
//Go to home screen		0.6	2	1	1	
See Records		0.65	2	6	0	
//See Recrods		0.65	2	6	1	
Exit Game		0.7	2	5	0	
//Exit game		0.7	2	5	1	
Go to Home Screen	0.6	0.5	5	1	0	
//Go to home screen	0.6	0.5	5	1	1	
Exit Game	0.6	0.55	5	6	0	
//Exit Game	0.6	0.55	5	6	1	
